DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126;none;r1i1p1f2;day;huss;gr;20200127;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585;none;r1i1p1f2;day;huss;gr;20191202;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical;none;r1i1p1f2;day;psl;gr;20191021;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126;none;r1i1p1f2;day;psl;gr;20200127;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585;none;r1i1p1f2;day;psl;gr;20191202;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical;none;r1i1p1f2;day;tasmax;gr;20191021;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126;none;r1i1p1f2;day;tasmax;gr;20200127;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585;none;r1i1p1f2;day;tasmax;gr;20191202;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical;none;r1i1p1f2;day;huss;gr;20181206;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126;none;r1i1p1f2;day;huss;gr;20190328;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585;none;r1i1p1f2;day;huss;gr;20191021;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical;none;r1i1p1f2;day;psl;gr;20181206;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126;none;r1i1p1f2;day;psl;gr;20190328;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585;none;r1i1p1f2;day;psl;gr;20191021;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical;none;r1i1p1f2;day;tasmax;gr;20181206;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126;none;r1i1p1f2;day;tasmax;gr;20190328;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585;none;r1i1p1f2;day;tasmax;gr;20191021;e,f
